Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,55100.000000,55500.000000,54300.000000,55000.000000,51755.472656,3707157
2021-04-27,55400.000000,55400.000000,54700.000000,55000.000000,51755.472656,1248421
2021-04-28,55400.000000,55600.000000,54500.000000,55000.000000,51755.472656,1400194
2021-04-29,55300.000000,55400.000000,53900.000000,53900.000000,50720.367188,1127318
2021-04-30,54100.000000,55500.000000,53900.000000,54700.000000,51473.171875,1817453
2021-05-03,55400.000000,55400.000000,53000.000000,53700.000000,50532.164063,1295837
2021-05-04,53100.000000,54000.000000,52700.000000,53300.000000,50155.757813,969843
2021-05-06,54400.000000,57500.000000,54300.000000,57500.000000,54107.996094,3197803
2021-05-07,57200.000000,58300.000000,56700.000000,58300.000000,54860.800781,1773865
2021-05-10,58900.000000,59500.000000,58000.000000,59500.000000,55990.015625,1609236
2021-05-11,59400.000000,59800.000000,58300.000000,59700.000000,56178.214844,1804888
2021-05-12,59800.000000,59800.000000,57400.000000,58400.000000,54954.902344,1571571
2021-05-13,58200.000000,59800.000000,58000.000000,58800.000000,55331.308594,2045579
2021-05-14,58200.000000,58600.000000,57200.000000,57600.000000,54202.101563,1263046
2021-05-17,57200.000000,58000.000000,56700.000000,57900.000000,54484.398438,1079044
2021-05-18,58300.000000,59200.000000,58000.000000,58800.000000,55331.308594,1152689
2021-05-20,58600.000000,59200.000000,57500.000000,58000.000000,54578.500000,1688989
2021-05-21,57300.000000,57700.000000,56000.000000,56300.000000,52978.781250,1799926
2021-05-24,56100.000000,57300.000000,56000.000000,56900.000000,53543.390625,1007131
2021-05-25,57000.000000,58200.000000,56700.000000,58100.000000,54672.597656,1151383
2021-05-26,57800.000000,58000.000000,56900.000000,57200.000000,53825.691406,1022294
2021-05-27,56900.000000,57600.000000,55400.000000,55400.000000,52131.875000,3878877
2021-05-28,56100.000000,57400.000000,55800.000000,57000.000000,53637.492188,1559587
2021-05-31,58000.000000,59100.000000,57500.000000,58800.000000,55331.308594,1839032
2021-06-01,58800.000000,59000.000000,58000.000000,58800.000000,55331.308594,921289
2021-06-02,59000.000000,59500.000000,58500.000000,58900.000000,55425.410156,984297
2021-06-03,59000.000000,59800.000000,58300.000000,58300.000000,54860.800781,1189896
2021-06-04,58200.000000,59000.000000,57400.000000,57600.000000,54202.101563,1439388
2021-06-07,57700.000000,58100.000000,57200.000000,58000.000000,54578.500000,818905
2021-06-08,57900.000000,58300.000000,57300.000000,57900.000000,54484.398438,840733
2021-06-09,57400.000000,57800.000000,56900.000000,56900.000000,53543.390625,814735
2021-06-10,56900.000000,57300.000000,56400.000000,57200.000000,53825.691406,1336878
2021-06-11,57000.000000,57500.000000,56600.000000,57000.000000,53637.492188,810885
2021-06-14,57000.000000,57000.000000,55700.000000,56200.000000,52884.683594,1080418
2021-06-15,55600.000000,56400.000000,55400.000000,55900.000000,52602.382813,950322
2021-06-16,56000.000000,57300.000000,55900.000000,56900.000000,53543.390625,1172338
2021-06-17,57100.000000,57700.000000,56300.000000,56900.000000,53543.390625,1208470
2021-06-18,56500.000000,57100.000000,56100.000000,56800.000000,53449.289063,1240029
2021-06-21,56100.000000,56400.000000,55000.000000,55100.000000,51849.574219,1951084
2021-06-22,55800.000000,56000.000000,55600.000000,55800.000000,52508.285156,629527
2021-06-23,55700.000000,56000.000000,55000.000000,55500.000000,52225.976563,782926
2021-06-24,55200.000000,56400.000000,55000.000000,56100.000000,52790.585938,972137
2021-06-25,56800.000000,57300.000000,56500.000000,57300.000000,53919.792969,983536
2021-06-28,57400.000000,57800.000000,56700.000000,57200.000000,53825.691406,1044763
2021-06-29,56600.000000,56600.000000,55700.000000,56100.000000,53491.964844,1108424
2021-06-30,55900.000000,56300.000000,55700.000000,55800.000000,53205.914063,915409
2021-07-01,55600.000000,55700.000000,54700.000000,54700.000000,52157.050781,1803641
2021-07-02,55100.000000,55100.000000,54300.000000,54500.000000,51966.343750,1687207
2021-07-05,54500.000000,54700.000000,53800.000000,54000.000000,51489.589844,1241061
2021-07-06,53800.000000,54200.000000,53500.000000,53800.000000,51298.890625,1093402
2021-07-07,53100.000000,53400.000000,52500.000000,52800.000000,50345.378906,2142738
2021-07-08,52500.000000,53100.000000,52200.000000,52300.000000,49868.621094,2043669
2021-07-09,51300.000000,51300.000000,50100.000000,50400.000000,48056.949219,4244069
2021-07-12,51500.000000,52300.000000,51400.000000,51500.000000,49105.812500,1993981
2021-07-13,52200.000000,52800.000000,52100.000000,52200.000000,49773.269531,1474584
2021-07-14,52000.000000,52200.000000,51300.000000,51500.000000,49105.812500,1457880
2021-07-15,51500.000000,52200.000000,51400.000000,51800.000000,49391.867188,1254010
2021-07-16,51500.000000,52500.000000,51400.000000,52500.000000,50059.324219,1171346
2021-07-19,51900.000000,52300.000000,50900.000000,51100.000000,48724.410156,1350304
